face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces\308_face0.jpg,Middle Eastern,White,Male,20-29,"[5.1750783e-02 1.9756079e-04 4.3718290e-02 1.9008876e-04 7.5486337e-04
 4.7066570e-03 8.9868176e-01]",[0.77517414 0.00601458 0.03543485 0.18337642],[9.9999982e-01 1.5182486e-07],"[1.0784044e-08 1.2512562e-06 2.2886735e-03 7.0338291e-01 2.9034227e-01
 3.9728531e-03 1.1591752e-05 3.6798235e-07 6.9877273e-09]"
detected_faces\309_face0.jpg,White,White,Female,30-39,"[9.1790664e-01 1.6541407e-03 1.5566495e-02 4.9365251e-03 1.1270946e-03
 3.4128880e-04 5.8467776e-02]",[9.9127102e-01 2.0060346e-04 8.2622254e-03 2.6613052e-04],[0.04874829 0.9512517 ],"[4.8817515e-07 5.5677619e-06 5.8280223e-04 1.7847605e-01 6.0654253e-01
 1.9579877e-01 1.7927766e-02 6.5626815e-04 9.7929424e-06]"
detected_faces\310_face0.jpg,Middle Eastern,White,Female,30-39,"[1.7570582e-01 2.7637981e-04 8.6120628e-03 1.2258150e-03 2.3056800e-03
 4.5565069e-03 8.0731773e-01]",[9.4501030e-01 6.7752373e-04 3.7849221e-02 1.6462956e-02],[0.46698198 0.533018  ],"[9.8992095e-06 8.7433902e-05 1.1447669e-02 3.5219610e-01 4.7497287e-01
 1.4644344e-01 1.3338838e-02 1.3382313e-03 1.6553901e-04]"
detected_faces\311_face0.jpg,East Asian,Asian,Female,20-29,"[1.9109540e-03 4.0432486e-05 3.3866492e-04 9.6897018e-01 2.8676411e-02
 2.7005262e-05 3.6336191e-05]",[5.3695589e-03 2.2223989e-04 9.9427086e-01 1.3730854e-04],[0.04299011 0.95700985],"[2.47774346e-06 1.55963865e-03 1.67244688e-01 7.73027062e-01
 5.56999184e-02 2.35938537e-03 9.33464980e-05 1.23479595e-05
 1.15119883e-06]"
detected_faces\312_face0.jpg,White,White,Male,20-29,"[5.0411063e-01 7.6155306e-04 4.1485146e-02 1.0098075e-04 4.7174751e-04
 1.3071254e-03 4.5176283e-01]",[0.9943684  0.00109282 0.00138911 0.00314974],[0.90591717 0.09408286],"[4.3621588e-07 6.2400264e-05 3.8663439e-02 7.5157094e-01 1.9751236e-01
 1.1574200e-02 5.7330343e-04 3.9727169e-05 3.1912332e-06]"
detected_faces\313_face0.jpg,Black,Black,Male,20-29,"[7.6989403e-05 9.9806690e-01 1.0326536e-03 2.9431454e-05 1.3772077e-04
 3.3742978e-04 3.1882318e-04]",[2.3734909e-03 9.9553573e-01 8.7136001e-04 1.2193837e-03],[9.997780e-01 2.220284e-04],"[1.4755509e-06 3.6478050e-05 5.7860292e-03 5.5042052e-01 4.0579051e-01
 3.6484141e-02 1.4098672e-03 6.2689687e-05 8.2590459e-06]"
detected_faces\314_face0.jpg,White,White,Male,40-49,"[0.6235561  0.04781414 0.13208248 0.0006753  0.00589524 0.01558261
 0.17439426]",[0.89164317 0.07994007 0.01305014 0.01536673],[9.9996179e-01 3.8221602e-05],"[4.9228004e-07 1.3292221e-06 1.2306972e-04 1.6756881e-02 4.4866225e-01
 4.9583870e-01 3.7829973e-02 7.6378719e-04 2.3577220e-05]"
detected_faces\315_face0.jpg,Indian,Indian,Male,20-29,"[5.1761849e-04 3.6887743e-03 7.3314365e-03 1.7086286e-05 1.7355068e-04
 9.8331839e-01 4.9531301e-03]",[8.0750056e-04 1.2172583e-02 6.9862523e-05 9.8695010e-01],[9.999617e-01 3.836234e-05],"[1.1206454e-06 2.8151690e-04 2.8462376e-02 6.0623050e-01 3.4488985e-01
 1.9821698e-02 3.0427505e-04 8.4809662e-06 1.7983841e-07]"
detected_faces\316_face0.jpg,East Asian,Asian,Male,30-39,"[0.13096157 0.01106092 0.17695013 0.30887076 0.23911339 0.02980477
 0.10323853]",[0.0917213  0.00488056 0.8963881  0.00701002],[0.93800944 0.06199055],"[6.3047883e-05 1.6866672e-04 4.4837962e-03 1.8246037e-01 4.4727322e-01
 3.1806213e-01 4.3503258e-02 3.8601602e-03 1.2543665e-04]"
detected_faces\317_face0.jpg,East Asian,Asian,Female,20-29,"[0.01987982 0.00605113 0.0708196  0.44672805 0.44660234 0.00049407
 0.009425  ]",[0.00886989 0.01191559 0.97693825 0.00227632],[0.01359178 0.9864082 ],"[0.00061025 0.01838851 0.07567152 0.32421204 0.32322562 0.15838252
 0.07409118 0.0231786  0.00223976]"
detected_faces\318_face0.jpg,White,White,Male,40-49,"[9.9436575e-01 3.2294872e-06 1.8093204e-04 3.0320898e-06 1.2902199e-05
 2.1545989e-04 5.2186353e-03]",[9.95182812e-01 1.37655625e-05 4.06910107e-03 7.34366535e-04],[9.9997598e-01 2.4073266e-05],"[2.6427725e-07 1.8177641e-06 1.7804156e-04 1.2027509e-02 1.8846607e-01
 6.0268825e-01 1.9419651e-01 2.3312960e-03 1.1017509e-04]"
detected_faces\319_face0.jpg,Indian,Indian,Female,10-19,"[4.8455474e-04 4.3381175e-01 3.6605693e-02 2.4044671e-04 3.5243256e-03
 5.2269536e-01 2.6378881e-03]",[1.4112104e-04 3.3522554e-02 9.8725408e-04 9.6534908e-01],[0.00658477 0.99341524],"[6.0981136e-05 2.9506710e-01 6.7320096e-01 2.5793031e-02 5.5562514e-03
 3.0467656e-04 1.5298876e-05 1.6343048e-06 1.1612494e-07]"
detected_faces\31_face0.jpg,Black,Black,Female,30-39,"[4.4628931e-07 9.9976438e-01 2.0457395e-05 2.9800384e-07 3.0127508e-06
 2.1121698e-04 1.6553007e-07]",[2.0947489e-06 9.9955773e-01 7.2605471e-06 4.3297268e-04],[0.0105097 0.9894903],"[1.3761480e-07 1.0783226e-05 1.6849313e-03 1.0749093e-01 5.0849527e-01
 3.3397770e-01 4.7572762e-02 7.5286144e-04 1.4704755e-05]"
detected_faces\320_face0.jpg,East Asian,Asian,Female,20-29,"[4.8925332e-03 4.0249459e-05 3.5993073e-03 8.9936966e-01 9.1489173e-02
 2.3345120e-04 3.7568601e-04]",[4.8462007e-02 3.1613733e-04 9.5056701e-01 6.5488531e-04],[0.00809088 0.99190915],"[6.4538635e-06 7.5188035e-04 5.5883672e-02 8.5050046e-01 9.0451881e-02
 2.3567644e-03 4.3449330e-05 5.1283878e-06 3.0496651e-07]"
detected_faces\321_face0.jpg,Indian,Indian,Female,3-9,"[0.01359363 0.2628599  0.25256574 0.00157429 0.00878724 0.45201096
 0.00860821]",[0.06014261 0.05368219 0.00340719 0.882768  ],[0.21454948 0.7854506 ],"[1.0623621e-03 7.9766601e-01 1.9447757e-01 5.9811571e-03 7.3547836e-04
 7.3991869e-05 3.1102106e-06 2.4379690e-07 6.0808496e-08]"
detected_faces\322_face0.jpg,White,White,Female,20-29,"[9.9039763e-01 3.0218194e-05 3.1013705e-03 6.0172653e-04 2.7336302e-04
 3.2184038e-05 5.5635795e-03]",[9.9709117e-01 6.0300261e-04 2.1255717e-03 1.8019442e-04],[9.7740427e-05 9.9990225e-01],"[1.2121345e-07 5.8700232e-04 1.5422827e-01 7.9652804e-01 4.8024110e-02
 6.3016301e-04 2.2894051e-06 3.0693716e-08 1.8336210e-09]"
detected_faces\323_face0.jpg,White,White,Male,40-49,"[9.9972796e-01 1.2378000e-07 1.1169899e-05 5.0251479e-06 8.4367457e-06
 2.0031230e-06 2.4511522e-04]",[9.9998558e-01 1.7406278e-07 1.1564226e-05 2.6669770e-06],[0.9897805  0.01021948],"[1.30273111e-05 2.64812465e-04 1.23163071e-02 3.24262753e-02
 1.13024525e-01 5.38556397e-01 2.81715661e-01 2.04543099e-02
 1.22876838e-03]"
detected_faces\324_face0.jpg,Middle Eastern,White,Female,40-49,"[0.37112796 0.00075584 0.11129557 0.00122464 0.00061753 0.00183756
 0.5131409 ]",[0.96355826 0.00312686 0.01908815 0.01422677],[6.2370855e-05 9.9993759e-01],"[2.9565479e-07 2.9503303e-06 2.1590883e-04 2.7540784e-02 3.4905270e-01
 5.1779437e-01 1.0130535e-01 4.0520942e-03 3.5493431e-05]"
detected_faces\325_face0.jpg,East Asian,Asian,Female,20-29,"[1.1493618e-03 1.6003169e-04 1.1025531e-03 9.3055099e-01 6.6784397e-02
 2.5975940e-05 2.2665618e-04]",[4.6583470e-03 1.2245722e-04 9.9506205e-01 1.5713547e-04],[0.07959717 0.9204028 ],"[5.0791667e-04 7.0854682e-03 3.7243705e-02 5.0229430e-01 3.7720537e-01
 6.9017202e-02 5.7132542e-03 8.4796030e-04 8.4778250e-05]"
detected_faces\326_face0.jpg,East Asian,Asian,Male,30-39,"[3.5068807e-01 7.8799116e-05 6.7854715e-03 6.0426694e-01 2.6353059e-02
 1.7709346e-04 1.1650630e-02]",[4.6264106e-01 6.4147334e-04 5.3647602e-01 2.4136431e-04],[9.999992e-01 7.642248e-07],"[6.2538767e-08 2.6103115e-07 1.6904701e-04 8.7180786e-02 5.7639325e-01
 3.0649865e-01 2.9176507e-02 5.7755399e-04 3.8529170e-06]"
detected_faces\327_face0.jpg,Latino_Hispanic,Asian,Male,3-9,"[0.03858644 0.11531275 0.22501224 0.12911464 0.14491145 0.17148595
 0.17557657]",[0.00475016 0.22329213 0.6983962  0.07356147],[0.9978107  0.00218926],"[2.8148571e-03 7.9369974e-01 1.8941037e-01 1.0120640e-02 2.8209528e-03
 1.0284694e-03 9.8115990e-05 6.2730733e-06 6.5518816e-07]"
detected_faces\328_face0.jpg,Indian,Indian,Male,60-69,"[0.01594773 0.06003618 0.02390737 0.00085456 0.01661157 0.7886065
 0.09403605]",[2.5405262e-03 1.1816875e-02 9.3635428e-04 9.8470622e-01],[0.9982404  0.00175963],"[1.7276822e-04 3.2729530e-04 1.7879959e-03 2.1570658e-03 3.4173965e-03
 1.9977916e-02 1.4871313e-01 5.9173203e-01 2.3171453e-01]"
detected_faces\329_face0.jpg,East Asian,Asian,Male,30-39,"[1.3776841e-03 1.6904298e-03 1.6723543e-03 7.0607156e-01 2.8855503e-01
 3.8344855e-04 2.4948316e-04]",[3.1348295e-03 1.9806195e-02 9.7654909e-01 5.0996058e-04],[9.9999124e-01 8.8102834e-06],"[4.8560773e-06 2.2080798e-05 2.4848678e-03 2.5405768e-01 5.4344958e-01
 1.6923572e-01 2.7234403e-02 3.2943725e-03 2.1640545e-04]"
detected_faces\32_face0.jpg,East Asian,Asian,Female,20-29,"[1.5010627e-04 5.7411520e-04 3.9764983e-03 7.0567220e-01 2.8912354e-01
 4.6457953e-04 3.8997401e-05]",[1.7034657e-04 3.4893372e-05 9.9975741e-01 3.7318441e-05],[0.09976432 0.90023565],"[1.9915309e-04 3.4634784e-02 2.7408522e-01 4.9280512e-01 1.6969223e-01
 2.6959188e-02 1.4004315e-03 2.1279776e-04 1.1076491e-05]"
detected_faces\330_face0.jpg,East Asian,Asian,Female,20-29,"[1.2697624e-03 2.2864163e-04 3.2314293e-03 6.9090468e-01 3.0413422e-01
 1.5299782e-04 7.8228957e-05]",[8.9481630e-04 1.0406836e-03 9.9792004e-01 1.4443067e-04],[9.2163286e-04 9.9907839e-01],"[1.7079165e-07 4.0306227e-04 1.8864213e-01 7.7231342e-01 3.8145635e-02
 4.9195165e-04 3.3670585e-06 2.2888014e-07 8.3862872e-09]"
detected_faces\331_face0.jpg,White,White,Female,20-29,"[9.8206955e-01 6.1599934e-04 1.0387906e-02 5.7746703e-04 5.4399867e-04
 2.7570134e-04 5.5293520e-03]",[9.9541241e-01 6.0697400e-04 1.9309816e-03 2.0496284e-03],[0.0053659 0.9946341],"[3.6466940e-06 6.0538929e-03 3.4239399e-01 6.1318028e-01 3.7660889e-02
 7.0306309e-04 3.9496063e-06 2.1785634e-07 3.5962600e-08]"
detected_faces\332_face0.jpg,Latino_Hispanic,Indian,Female,40-49,"[3.83108296e-02 4.10705879e-02 8.36214542e-01 1.11056135e-04
 1.31241966e-03 6.70076311e-02 1.59729719e-02]",[0.32915825 0.10198026 0.00536006 0.5635014 ],[1.6289037e-04 9.9983710e-01],"[1.2112925e-07 2.6695648e-06 6.2879210e-04 3.2827534e-02 4.0050814e-01
 4.9322325e-01 7.1455769e-02 1.3440251e-03 9.6843769e-06]"
detected_faces\333_face0.jpg,White,White,Male,20-29,"[0.5446131  0.00132225 0.17574151 0.00078916 0.00106035 0.02955613
 0.24691749]",[0.75112164 0.0021745  0.00417743 0.24252649],[9.9920619e-01 7.9382194e-04],"[1.3436160e-07 1.2426370e-05 1.4423676e-02 7.2458994e-01 2.5255013e-01
 8.3441241e-03 7.7786528e-05 1.7562193e-06 7.2362461e-08]"
detected_faces\334_face0.jpg,White,White,Male,40-49,"[9.9949443e-01 5.0173094e-06 3.7535519e-05 3.7228278e-06 4.8402103e-06
 3.9523006e-06 4.5054671e-04]",[9.9942064e-01 2.1155068e-04 2.2837118e-04 1.3947776e-04],[9.9982053e-01 1.7950608e-04],"[3.3199001e-05 7.9286176e-05 3.8346383e-04 1.6385317e-02 3.3699226e-01
 5.6153095e-01 8.2696863e-02 1.7613091e-03 1.3726919e-04]"
detected_faces\335_face0.jpg,East Asian,Asian,Female,20-29,"[1.5161873e-03 6.2475214e-03 2.5715807e-02 7.1845168e-01 2.4740407e-01
 2.0443130e-04 4.6034541e-04]",[1.0833151e-03 7.3699448e-03 9.9059504e-01 9.5173676e-04],[0.00712796 0.99287206],"[4.0883297e-06 5.6085491e-04 5.1026028e-02 7.0664781e-01 2.2611672e-01
 1.5028861e-02 5.6828529e-04 4.5063418e-05 2.2800293e-06]"
detected_faces\336_face0.jpg,Indian,Indian,Female,30-39,"[0.00543672 0.00154638 0.14381379 0.00235179 0.06428513 0.7147016
 0.06786454]",[0.0134991  0.00318012 0.08224756 0.9010733 ],[0.00846053 0.9915394 ],"[5.0233587e-07 8.2852697e-05 2.2457302e-02 3.5785499e-01 4.8501778e-01
 1.2776016e-01 6.5230615e-03 2.8699113e-04 1.6264565e-05]"
detected_faces\337_face0.jpg,White,White,Male,50-59,"[5.5731595e-01 7.7766557e-03 1.1446288e-01 5.4320291e-04 6.8670453e-04
 1.5196894e-02 3.0401766e-01]",[0.98225105 0.00746926 0.00228594 0.00799373],[0.98702276 0.01297722],"[8.0701408e-05 1.1295599e-04 8.1177289e-04 9.9306200e-03 7.4540146e-02
 3.3991948e-01 4.6254411e-01 1.0615284e-01 5.9073400e-03]"
detected_faces\338_face0.jpg,Indian,Indian,Female,3-9,"[2.6326746e-02 7.2318048e-04 2.8551304e-01 1.6327431e-04 2.7541560e-03
 6.5825832e-01 2.6261233e-02]",[4.4980187e-02 8.8734506e-04 5.9729174e-04 9.5353514e-01],[0.3174124  0.68258756],"[7.8327379e-05 5.4377663e-01 4.4847500e-01 6.9582397e-03 6.6686532e-04
 4.4125361e-05 6.4332414e-07 9.9985854e-08 1.6355855e-08]"
detected_faces\339_face0.jpg,White,White,Female,20-29,"[9.7049749e-01 6.1261235e-05 4.8626298e-03 2.9686920e-03 8.3935919e-04
 1.9699911e-04 2.0573694e-02]",[9.6324039e-01 2.7285633e-04 3.5682704e-02 8.0400892e-04],[0.03142872 0.96857125],"[9.8948544e-07 2.6764272e-04 7.2172001e-02 7.8250682e-01 1.3994674e-01
 4.9869809e-03 1.1426398e-04 4.0330442e-06 5.5810949e-07]"
detected_faces\33_face0.jpg,Middle Eastern,White,Male,40-49,"[1.6492768e-01 8.3359570e-05 1.7658280e-02 9.4083836e-05 1.6541142e-04
 6.8417792e-03 8.1022936e-01]",[0.8608132  0.00238322 0.01156099 0.12524258],[9.9972755e-01 2.7245007e-04],"[3.3560013e-05 1.4482421e-04 2.8586334e-03 3.2011098e-03 6.2499769e-02
 4.6284840e-01 4.3517730e-01 3.2675538e-02 5.6092202e-04]"
detected_faces\340_face0.jpg,White,White,Male,3-9,"[9.9940699e-01 2.6420018e-06 7.9156795e-05 6.5726226e-06 5.7571096e-06
 2.6385546e-06 4.9627403e-04]",[9.9987537e-01 5.5252054e-05 4.2855172e-05 2.6464757e-05],[0.5040896  0.49591038],"[4.2104633e-03 8.2058167e-01 1.5760079e-01 1.2591304e-02 4.1577443e-03
 8.0586277e-04 4.6058540e-05 3.2111111e-06 2.9001258e-06]"
detected_faces\341_face0.jpg,East Asian,Asian,Female,20-29,"[1.0084088e-04 1.0558122e-06 1.6240997e-04 9.7325051e-01 2.6417421e-02
 3.3796699e-05 3.4065561e-05]",[1.9587872e-04 6.8316576e-06 9.9965197e-01 1.4529015e-04],[2.2015893e-05 9.9997795e-01],"[1.28610509e-07 8.33945960e-05 3.32599171e-02 8.12581122e-01
 1.46572858e-01 7.38809537e-03 1.05987885e-04 8.27998065e-06
 1.97841047e-07]"
detected_faces\342_face0.jpg,Indian,Indian,Female,30-39,"[4.7591249e-05 1.0084194e-03 2.2968971e-03 2.6100434e-04 1.0877624e-02
 9.8543960e-01 6.8859626e-05]",[1.9541914e-05 9.4617793e-04 9.0709040e-03 9.8996341e-01],[0.0049794 0.9950206],"[3.0866647e-04 5.2113332e-02 1.6669206e-01 1.7703226e-01 4.2424265e-01
 1.5693182e-01 1.9513046e-02 2.9921511e-03 1.7397312e-04]"
detected_faces\344_face0.jpg,White,White,Female,3-9,"[0.8304081  0.00111386 0.04365902 0.00446498 0.00453542 0.00457931
 0.11123925]",[0.9593502  0.00103397 0.03252445 0.00709136],[0.10373511 0.8962649 ],"[7.2477474e-03 7.7625388e-01 1.9816625e-01 1.3817407e-02 3.5745555e-03
 8.2495768e-04 8.7555927e-05 1.9831808e-05 7.7177765e-06]"
detected_faces\345_face0.jpg,White,White,Male,20-29,"[9.1562992e-01 2.1542097e-03 3.2458413e-02 5.0860464e-05 7.9405123e-05
 7.2345538e-05 4.9554825e-02]",[9.9545288e-01 4.4104494e-03 1.2695167e-04 9.7634183e-06],[9.999994e-01 5.621018e-07],"[3.4322483e-08 7.1662471e-06 3.4611594e-02 9.2926276e-01 3.5873294e-02
 2.4387646e-04 1.3098493e-06 4.3076078e-08 1.5116779e-09]"
detected_faces\346_face0.jpg,White,White,Female,20-29,"[9.0232342e-01 5.9187832e-06 6.8510659e-03 1.9758119e-04 1.4216348e-04
 4.4093293e-04 9.0038873e-02]",[9.8340666e-01 1.5384465e-04 6.1625978e-03 1.0276927e-02],[0.16651362 0.8334864 ],"[5.8104199e-08 8.0374093e-06 1.6437452e-02 6.5554160e-01 3.0914298e-01
 1.8549327e-02 3.1030408e-04 9.7296870e-06 4.6723653e-07]"
detected_faces\347_face0.jpg,East Asian,Asian,Male,30-39,"[0.00550391 0.00332333 0.0328932  0.5060381  0.44860914 0.00173772
 0.00189452]",[0.00792699 0.01439601 0.96597445 0.01170253],[0.74552166 0.25447828],"[2.6934498e-05 2.2261390e-03 1.5133619e-01 2.7932218e-01 3.4018075e-01
 1.8711479e-01 3.5059556e-02 4.3608570e-03 3.7260290e-04]"
detected_faces\348_face0.jpg,White,White,Male,0-2,"[0.7387485  0.01636119 0.07419837 0.10472712 0.03530808 0.00267841
 0.02797828]",[0.72222793 0.02286033 0.25159776 0.00331401],[0.8481802  0.15181983],"[9.8380744e-01 1.5895527e-02 4.2946820e-05 7.0748531e-05 1.1127534e-04
 5.0298189e-05 1.7837869e-05 2.9956179e-06 9.3774884e-07]"
detected_faces\34_face0.jpg,Middle Eastern,White,Male,40-49,"[9.3707129e-02 2.8961082e-05 2.0995813e-03 1.5828482e-05 5.5525485e-05
 7.5577863e-04 9.0333718e-01]",[9.9839312e-01 1.8592183e-04 5.1342475e-05 1.3696228e-03],[9.9997574e-01 2.4239878e-05],"[1.3572764e-05 8.2597478e-05 5.6811268e-03 4.6925344e-02 1.9815488e-01
 4.6951175e-01 2.4012731e-01 3.7239626e-02 2.2636955e-03]"
detected_faces\350_face0.jpg,Middle Eastern,White,Male,20-29,"[1.4830187e-04 2.1313395e-05 1.7294619e-04 1.3699635e-07 1.3326078e-06
 2.7592036e-05 9.9962837e-01]",[0.80808973 0.04528683 0.00430471 0.14231874],[9.9991125e-01 8.8715300e-05],"[7.5893295e-06 1.7027904e-03 3.0968843e-02 6.5156740e-01 3.0711481e-01
 8.6047212e-03 3.2980555e-05 8.0417834e-07 4.0966977e-08]"
detected_faces\351_face0.jpg,White,White,Male,40-49,"[5.8759838e-01 2.2631363e-04 8.9620419e-02 2.4648563e-03 4.2513106e-03
 1.1487445e-03 3.1468996e-01]",[0.6107442  0.00620811 0.35904816 0.02399958],[9.9996656e-01 3.3462977e-05],"[1.16981312e-06 1.48389915e-06 6.38491983e-05 2.69694976e-03
 1.13901444e-01 6.82788730e-01 1.93360597e-01 7.10996520e-03
 7.58050446e-05]"
detected_faces\353_face0.jpg,East Asian,Asian,Male,50-59,"[3.6200243e-03 3.0940011e-02 3.9507127e-03 6.0842150e-01 3.4464574e-01
 8.1964666e-03 2.2550617e-04]",[0.00761058 0.03851851 0.9032504  0.05062048],[9.9969703e-01 3.0296057e-04],"[4.0599366e-06 3.4344855e-06 6.4800610e-05 1.5263460e-03 9.1250464e-03
 1.2957485e-01 5.2334607e-01 3.2501155e-01 1.1343749e-02]"
detected_faces\354_face0.jpg,Middle Eastern,White,Male,50-59,"[0.28163275 0.06447111 0.2156347  0.00069698 0.00081901 0.06008773
 0.3766577 ]",[0.64139736 0.25000033 0.0046439  0.10395843],[9.999236e-01 7.645279e-05],"[1.0333633e-04 1.0545725e-04 5.2053871e-04 3.9870469e-04 6.9604795e-03
 1.3234584e-01 6.0628265e-01 2.4456789e-01 8.7150596e-03]"
detected_faces\355_face0.jpg,East Asian,Asian,Female,30-39,"[6.8642007e-04 5.1415704e-05 2.6281629e-04 9.3547553e-01 6.3431866e-02
 9.1071888e-06 8.2771861e-05]",[2.0296678e-05 1.6668078e-04 9.9980712e-01 5.7890416e-06],[0.19903718 0.8009628 ],"[0.0116009  0.02800516 0.03441997 0.14591159 0.29691505 0.2790425
 0.13430856 0.05793357 0.0118626 ]"
detected_faces\356_face0.jpg,Southeast Asian,Asian,Male,0-2,"[0.04002957 0.01033541 0.14441119 0.23624006 0.5273282  0.03295112
 0.00870453]",[0.09958891 0.00987749 0.87593395 0.0145996 ],[0.51077354 0.48922646],"[7.9100484e-01 2.0571214e-01 9.8026101e-04 3.4811237e-04 8.4684824e-04
 6.4611202e-04 2.8948742e-04 1.3523494e-04 3.7045531e-05]"
detected_faces\358_face0.jpg,East Asian,Asian,Female,20-29,"[1.1357918e-03 1.0886351e-04 1.2950023e-03 9.7426188e-01 2.2942586e-02
 2.1120957e-05 2.3476972e-04]",[5.9372641e-04 2.8247367e-05 9.9937254e-01 5.4226252e-06],[0.0221266  0.97787344],"[1.75343951e-06 1.12128226e-04 2.48456411e-02 6.82739496e-01
 2.70416141e-01 2.11573690e-02 6.75092859e-04 5.04518612e-05
 1.97167651e-06]"
detected_faces\359_face0.jpg,White,White,Female,20-29,"[9.99703348e-01 2.01853361e-08 1.33949925e-05 1.38489679e-06
 1.00077330e-06 4.15798439e-07 2.80392211e-04]",[9.99820471e-01 1.08023087e-05 1.20805635e-04 4.78855727e-05],[1.2756532e-04 9.9987245e-01],"[1.8611154e-08 3.4330034e-05 3.4462869e-02 8.0699027e-01 1.4867015e-01
 9.7783655e-03 6.2996376e-05 9.2864690e-07 7.0025806e-08]"
detected_faces\35_face0.jpg,East Asian,Asian,Male,30-39,"[3.7995713e-05 5.6614249e-07 4.1132018e-05 9.8018175e-01 1.9720474e-02
 7.8750036e-06 1.0267680e-05]",[1.8396239e-04 1.5024060e-06 9.9979478e-01 1.9765939e-05],[9.9935448e-01 6.4552325e-04],"[2.6527812e-07 1.2782796e-05 8.5419472e-03 3.6767954e-01 5.2255106e-01
 9.7428724e-02 3.5392563e-03 2.4340817e-04 3.0317403e-06]"
detected_faces\360_face0.jpg,East Asian,Asian,Male,3-9,"[2.7365347e-03 8.3121831e-06 6.6471039e-03 9.5692140e-01 3.3509806e-02
 6.0337177e-05 1.1644515e-04]",[1.3775225e-02 5.1742780e-04 9.8361415e-01 2.0932173e-03],[0.9985655  0.00143448],"[1.9543563e-04 9.2046928e-01 7.8427427e-02 4.7588957e-04 3.3237285e-04
 8.3194580e-05 1.3604001e-05 2.5151078e-06 2.3105054e-07]"
detected_faces\361_face0.jpg,White,White,Female,30-39,"[4.9861085e-01 2.3811494e-04 4.3569678e-01 4.1626855e-03 1.1775942e-02
 6.1030346e-03 4.3412618e-02]",[0.93846864 0.00109202 0.03757761 0.02286167],[0.00540441 0.9945956 ],"[2.5635341e-06 1.3058125e-03 6.6680178e-02 1.9147019e-01 6.3733321e-01
 1.0090293e-01 2.2741598e-03 3.0634139e-05 3.3751678e-07]"
detected_faces\362_face0.jpg,Middle Eastern,White,Male,10-19,"[0.07856356 0.0019237  0.02913923 0.00191309 0.00198995 0.0108227
 0.8756477 ]",[0.97808635 0.00142268 0.00416395 0.01632691],[0.8698985  0.13010155],"[1.4205447e-04 1.4363776e-01 7.2539878e-01 1.1866940e-01 1.1181552e-02
 9.4416935e-04 2.1779471e-05 3.8711605e-06 6.5430203e-07]"
detected_faces\363_face0.jpg,East Asian,Asian,Male,30-39,"[7.9221651e-03 6.2031404e-04 1.7009297e-02 7.7772474e-01 1.9081552e-01
 3.5909782e-04 5.5488320e-03]",[3.7412658e-02 1.1456996e-04 9.6122086e-01 1.2519475e-03],[0.9737375  0.02626247],"[1.2359952e-04 3.8845488e-03 1.7974541e-02 3.6985338e-01 4.8157278e-01
 1.1454801e-01 1.0626959e-02 1.2288322e-03 1.8737405e-04]"
detected_faces\364_face0.jpg,Latino_Hispanic,White,Female,3-9,"[0.15760118 0.00111604 0.5142197  0.06348582 0.10847963 0.06495983
 0.09013779]",[0.56787485 0.00126946 0.22195928 0.20889647],[0.19955026 0.8004498 ],"[9.2680501e-03 9.5225626e-01 3.5638515e-02 2.2823403e-03 4.7599553e-04
 7.2182185e-05 4.7450644e-06 1.4861631e-06 3.7758664e-07]"
detected_faces\365_face0.jpg,Indian,Indian,Male,10-19,"[3.5751392e-03 1.1032110e-02 5.2196883e-02 2.5069126e-04 2.0733564e-03
 8.9254487e-01 3.8326945e-02]",[0.00112708 0.01590143 0.00225114 0.98072034],[0.6430427  0.35695732],"[2.8925373e-05 1.8960427e-02 6.2001365e-01 3.2381657e-01 3.3176843e-02
 3.8335808e-03 1.4372572e-04 2.3862898e-05 2.3871330e-06]"
detected_faces\366_face0.jpg,Middle Eastern,White,Female,20-29,"[3.7028992e-01 4.4662892e-04 9.1669790e-02 6.3342060e-04 1.4612220e-03
 2.5413329e-02 5.1008570e-01]",[0.97343045 0.00124028 0.00140708 0.0239222 ],[1.8915761e-04 9.9981087e-01],"[6.1855410e-08 7.9327932e-05 5.6438234e-02 8.2661307e-01 1.1143921e-01
 5.3679110e-03 6.0134556e-05 1.9649024e-06 1.0360906e-07]"
detected_faces\367_face0.jpg,Middle Eastern,White,Male,30-39,"[1.8763272e-01 3.1696394e-04 1.4335495e-02 1.1030128e-03 9.4136829e-04
 5.1388022e-04 7.9515654e-01]",[0.94548714 0.00878524 0.0329611  0.01276656],[9.995956e-01 4.043730e-04],"[4.2493548e-07 3.1940110e-06 1.1464468e-03 2.3882927e-01 6.3143516e-01
 1.2220830e-01 5.9771752e-03 3.8673828e-04 1.3242111e-05]"
detected_faces\368_face0.jpg,Latino_Hispanic,Indian,Female,20-29,"[0.14680105 0.00087518 0.3689315  0.01372912 0.02457809 0.28215337
 0.16293156]",[0.07000021 0.00176632 0.01065413 0.91757935],[6.8307592e-04 9.9931693e-01],"[1.6400190e-07 3.1426174e-03 2.2685544e-01 7.4082762e-01 2.9003073e-02
 1.7018621e-04 8.8860651e-07 2.3947660e-08 7.4066314e-10]"
